LeadID,city,ConvertedDate,Closed Date,Stage,Stage
00Q4wx1231Q29rQ,Indian Harbour Beach city,16-Sep-21,16-Sep-21,Closed Won,Closed Won
00Q4wx1231Q3co9,Sunset,29-Oct-21,29-Oct-21,Engineering/Quoting,Scheduling Visit
00Q4wx1231Q3T7x,LaBelle city,22-Oct-21,22-Oct-21,Canceled,Visit
00Q4wx1231Q3O3N,Pine Castle,21-Oct-21,28-Oct-21,Scheduling Visit,Canceled
00Q4wx1231Q3PnF,Port St. Lucie city,22-Oct-21,29-Oct-21,Quote,Engineering/Quoting
00Q4wx1231Q3Pjc,Hutchinson Island South,21-Oct-21,22-Oct-21,Scheduling Visit,Quote
00Q4wx1231Q3NYj,Villas,21-Oct-21,22-Oct-21,Closed Lost,Closed Lost
00Q4wx1231Q3e9A,Welaka town,29-Oct-21,5-Nov-21,Engineering/Quoting,
00Q4wx1231Q3d4v,Astatula town,29-Oct-21,29-Oct-21,Visit,
00Q4wx1231Q3OQ3,Fleming Island,21-Oct-21,22-Oct-21,Closed Won,
00Q4wx1231Q3Ndo,The Hammocks,21-Oct-21,27-Oct-21,Scheduling Visit,
00Q4wx1231Q3NHq,Jacob City city,21-Oct-21,27-Oct-21,Closed Won,
00Q4wx1231Q3NSM,Lee town,21-Oct-21,28-Oct-21,Engineering/Quoting,
00Q4wx1231Q3Muy,University,22-Oct-21,28-Oct-21,Scheduling Visit,
00Q4wx1231Q3NWO,Eustis city,21-Oct-21,27-Oct-21,Quote,
00Q4wx1231Q3U4G,Cedar Grove,29-Oct-21,5-Nov-21,Scheduling Visit,
00Q4wx1231Q495Y,Trenton city,25-Nov-21,3-Dec-21,Engineering/Quoting,
00Q4wx1231Q4RRX,Winter Beach,3-Dec-21,3-Dec-21,Visit,
00Q4wx1231Q3irC,Crescent City city,24-Nov-21,15-Dec-21,Closed Won,
00Q4wx1231Q49XZ,Jasmine Estates,24-Nov-21,3-Dec-21,Closed Lost,
00Q4wx1231Q4UuE,Homestead city,9-Dec-21,17-Dec-21,Engineering/Quoting,
00Q4wx1231Q4Hfg,Orange City city,9-Dec-21,10-Dec-21,Closed Lost,
00Q4wx1231Q31wC,Okahumpka,2-Oct-21,4-Oct-21,Closed Lost,
00Q4wx1231Q337A,Okahumpka,2-Oct-21,7-Oct-21,Closed Won,
00Q4wx1231Q2dGi,Lakewood Gardens,12-Oct-21,13-Oct-21,Closed Lost,
00Q4wx1231Q3mem,Waukeenah,10-Nov-21,15-Nov-21,Canceled,
00Q4wx1231Q3n7P,Southchase,10-Nov-21,10-Dec-21,Quote,
00Q4wx1231Q3CGP,Largo city,10-Nov-21,15-Nov-21,Canceled,
00Q4wx1231Q37YV,Chiefland city,5-Oct-21,13-Oct-21,Quote,
00Q4wx1231Q38l9,Ferndale,6-Oct-21,14-Oct-21,Visit,
00Q4wx1231Q37KU,Ocean City,6-Oct-21,21-Oct-21,Closed Won,
00Q4wx1231Q37Hf,Sneads town,6-Oct-21,13-Oct-21,Canceled,
00Q4wx1231Q373U,Apollo Beach,5-Oct-21,4-Oct-21,Closed Lost,
00Q4wx1231Q2yR3,Villano Beach,7-Oct-21,6-Oct-21,Scheduling Visit,
00Q4wx1231Q37uC,Fort Myers city,6-Oct-21,15-Oct-21,Canceled,
00Q4wx1231Q37ug,Cypress Lake,6-Oct-21,14-Oct-21,Engineering/Quoting,
00Q4wx1231Q32Ce,St. Augustine South,6-Oct-21,13-Oct-21,Closed Won,
00Q4wx1231Q38k6,Inverness Highlands North,6-Oct-21,12-Oct-21,Canceled,
00Q4wx1231Q2yeu,Eagle Lake city,5-Oct-21,13-Oct-21,Quote,
00Q4wx1231Q33MU,Palm Beach town,6-Oct-21,1-Dec-21,Quote,
00Q4wx1231Q2weA,Montura,5-Oct-21,6-Oct-21,Engineering/Quoting,
00Q4wx1231Q38xU,St. Augustine city,6-Oct-21,4-Nov-21,Closed Won,
00Q4wx1231Q3Kxv,Bowling Green city,2-Nov-21,5-Nov-21,Canceled,
00Q4wx1231Q3sn0,Hillsboro Pines,17-Nov-21,18-Nov-21,Closed Won,
00Q4wx1231Q472Y,Sweetwater city,17-Nov-21,22-Nov-21,Scheduling Visit,
00Q4wx1231Q4eSj,North Lauderdale city,15-Dec-21,16-Dec-21,Closed Lost,
00Q4wx1231Q4dQ8,St. Lucie Village town,15-Dec-21,17-Dec-21,Scheduling Visit,
00Q4wx1231Q3n7y,Okeechobee city,18-Nov-21,24-Nov-21,Canceled,
00Q4wx1231Q2eJT,Blountstown city,29-Sep-21,7-Oct-21,Canceled,
00Q4wx1231Q2yXL,Whitfield,29-Sep-21,6-Oct-21,Closed Won,
00Q4wx1231Q2e1K,Lakewood Gardens,30-Sep-21,8-Oct-21,Engineering/Quoting,
00Q4wx1231Q2wil,Sunset,29-Sep-21,15-Oct-21,Quote,
00Q4wx1231Q2yb7,Howey-in-the-Hills town,29-Sep-21,5-Oct-21,Closed Won,
00Q4wx1231Q2yWw,Patrick AFB,30-Sep-21,14-Oct-21,Closed Lost,
00Q4wx1231Q31fx,Morriston,30-Sep-21,8-Dec-21,Scheduling Visit,
00Q4wx1231Q2APb,Washington Park,30-Sep-21,13-Oct-21,Closed Won,
00Q4wx1231Q2v7V,Sumatra,30-Sep-21,4-Oct-21,Closed Lost,
00Q4wx1231Q2wl6,Virginia Gardens village,30-Sep-21,30-Sep-21,Visit,
00Q4wx1231Q3APo,Greensboro town,9-Oct-21,26-Oct-21,Scheduling Visit,
00Q4wx1231Q3j9v,Oakland town,9-Nov-21,15-Nov-21,Canceled,
00Q4wx1231Q3kpi,Freeport city,9-Nov-21,12-Nov-21,Closed Lost,
00Q4wx1231Q3yvQ,Dundee town,20-Nov-21,24-Nov-21,Engineering/Quoting,
00Q4wx1231Q48vJ,Richmond West,20-Nov-21,19-Nov-21,Quote,
00Q4wx1231Q3rJi,Virginia Gardens village,12-Nov-21,18-Nov-21,Closed Lost,
00Q4wx1231Q3r8B,Ives Estates,12-Nov-21,18-Nov-21,Visit,
00Q4wx1231Q3IYO,Belleair Beach city,20-Oct-21,25-Oct-21,Quote,
00Q4wx1231Q3Kp3,St. Pete Beach city,19-Oct-21,20-Oct-21,Closed Won,
00Q4wx1231Q3IFS,Dickerson City,19-Oct-21,20-Oct-21,Closed Lost,
00Q4wx1231Q2eCh,North Lauderdale city,23-Sep-21,28-Sep-21,Quote,
00Q4wx1231Q2Jpz,Cape Canaveral city,23-Sep-21,28-Sep-21,Canceled,
00Q4wx1231Q295f,Brownsdale,23-Sep-21,28-Sep-21,Engineering/Quoting,
00Q4wx1231Q2Zcn,Lake Mack-Forest Hills,23-Sep-21,28-Sep-21,Visit,
00Q4wx1231Q2eBe,Lake Panasoffkee,24-Sep-21,28-Sep-21,Closed Lost,
00Q4wx1231Q2AYO,Clearwater city,23-Sep-21,27-Sep-21,Canceled,
00Q4wx1231Q2ZcJ,Wacissa,23-Sep-21,3-Dec-21,Closed Won,
00Q4wx1231Q3CET,Bonifay city,12-Oct-21,13-Oct-21,Canceled,
00Q4wx1231Q28Wi,West Pensacola,23-Sep-21,28-Sep-21,Engineering/Quoting,
00Q4wx1231Q290z,Cabana Colony,23-Sep-21,28-Sep-21,Quote,
00Q4wx1231Q2Kzd,Kenneth City town,23-Sep-21,27-Sep-21,Closed Lost,
00Q4wx1231Q236f,Wilton Manors city,25-Sep-21,29-Sep-21,Closed Lost,
00Q4wx1231Q2nfI,Southgate,25-Sep-21,27-Sep-21,Visit,
00Q4wx1231Q2drP,Haines City city,25-Sep-21,1-Nov-21,Closed Won,
00Q4wx1231Q3V8l,Rotonda,26-Oct-21,2-Nov-21,Engineering/Quoting,
00Q4wx1231Q3W5c,Tangelo Park,26-Oct-21,29-Oct-21,Engineering/Quoting,
00Q4wx1231Q3VAN,Manalapan town,26-Oct-21,29-Oct-21,Scheduling Visit,
00Q4wx1231Q3gZD,Chokoloskee,30-Oct-21,2-Nov-21,Visit,
00Q4wx1231Q3gfa,West DeLand,30-Oct-21,2-Nov-21,Engineering/Quoting,
00Q4wx1231Q1uvq,Williston city,10-Sep-21,15-Sep-21,Quote,
00Q4wx1231Q1vn3,South Bay city,10-Sep-21,27-Sep-21,Quote,
00Q4wx1231Q21V4,Plantation,10-Sep-21,21-Sep-21,Closed Lost,
00Q4wx1231Q22oR,North Port city,10-Sep-21,21-Sep-21,Quote,
00Q4wx1231Q22aK,Suncoast Estates,10-Sep-21,27-Sep-21,Closed Won,
00Q4wx1231Q207j,Flagler Beach city,10-Sep-21,21-Sep-21,Closed Lost,
