City,Latitude,Longitude,County,
Acacia Villas,26.65,-80.11,Palm Beach,
Alachua city,29.78,-82.48,Alachua,
Alafaya,28.52,-81.18,Orange,
Alford town,30.7,-85.39,Jackson,
Allentown,30.77,-87.08,Santa Rosa,
Altamonte Springs city,28.66,-81.39,Seminole,
Altha town,30.57,-85.13,Calhoun,
Altoona,28.97,-81.65,Lake,
Alturas,27.84,-81.7,Polk,
Alva,26.72,-81.63,Lee,
Andrews,29.55,-82.89,Levy,
Anna Maria city,27.53,-82.73,Manatee,
Apalachicola city,29.73,-84.99,Franklin,
Apollo Beach,27.76,-82.4,Hillsborough,
Apopka city,28.7,-81.53,Orange,
Arcadia city,27.22,-81.86,Desoto,
Archer city,29.54,-82.51,Alachua,
Aripeka,28.43,-82.67,Hernando,
Asbury Lake,30.05,-81.79,Pasco,
Astatula town,28.71,-81.73,Clay,
Astor,29.16,-81.54,Lake,
Atlantic Beach city,30.34,-81.38,Lake,
Atlantis city,26.6,-80.1,Duval,
Auburndale city,28.1,-81.8,Palm Beach,
Aucilla,30.48,-83.76,Polk,
Avalon,30.54,-87.1,Jefferson,
Aventura city,25.96,-80.14,Santa Rosa,
Avon Park city,27.6,-81.51,Miami-Dade,
Azalea Park,28.55,-81.3,Highlands,
Babson Park,27.83,-81.53,Orange,
Bagdad,30.58,-87.04,Polk,
Bal Harbour village,25.89,-80.12,Santa Rosa,
Baldwin town,30.31,-81.97,Miami-Dade,
Balm,27.75,-82.29,Duval,
Bardmoor,27.86,-82.75,Hillsborough,
Bartow city,27.89,-81.82,Pinellas,
Bascom town,30.93,-85.12,Polk,
Bay Harbor Islands town,25.89,-80.13,Jackson,
Bay Hill,28.46,-81.51,Miami-Dade,
Bay Lake city,28.39,-81.58,Orange,
Bay Pines,27.81,-82.77,Orange,
Bayonet Point,28.33,-82.68,Pinellas,
Bayport,28.55,-82.65,Pasco,
Bayshore Gardens,27.43,-82.58,Hernando,
Beacon Square,28.21,-82.75,Manatee,
Bear Creek,27.76,-82.73,Pasco,
Bee Ridge,27.29,-82.47,Pinellas,
Bell town,29.76,-82.86,Sarasota,
Bellair-Meadowbrook Terrace,30.18,-81.74,Gilchrist,
Belle Glade city,26.69,-80.67,Clay,
Belle Isle city,28.47,-81.35,Palm Beach,
Belleair Beach city,27.92,-82.84,Orange,
Belleair Bluffs city,27.92,-82.82,Pinellas,
Belleair Shore town,27.92,-82.85,Pinellas,
Belleair town,27.94,-82.81,Pinellas,
Belleview city,29.06,-82.06,Pinellas,
Bellview,30.46,-87.31,Marion,
Berrydale,30.9,-87.04,Escambia,
Beverly Beach town,29.52,-81.15,Santa Rosa,
Beverly Hills,28.92,-82.45,Flagler,
Big Coppitt Key,24.59,-81.65,Citrus,
Big Pine Key,24.69,-81.37,Monroe,
Biscayne Park village,25.88,-80.18,Monroe,
Bithlo,28.56,-81.11,Miami-Dade,
Black Diamond,28.91,-82.49,Orange,
Black Hammock,28.71,-81.18,Citrus,
Bloomingdale,27.88,-82.26,Seminole,
Blountstown city,30.44,-85.05,Hillsborough,
Boca Raton city,26.37,-80.11,Calhoun,
Bokeelia,26.68,-82.14,Palm Beach,
Bonifay city,30.78,-85.68,Lee,
Bonita Springs city,26.36,-81.79,Holmes,
Boulevard Gardens,26.13,-80.18,Lee,
Bowling Green city,27.64,-81.82,Broward,
Boynton Beach city,26.53,-80.08,Hardee,
Bradenton Beach city,27.47,-82.7,Palm Beach,
Bradenton city,27.49,-82.57,Manatee,
Bradley Junction,27.79,-81.98,Manatee,
